"title","station","description","issues","medium","character","url","imageURL","bcastId","documentId"
"Aktenzeichen XY... ungelöst","ZDF","Hintergrundinformationen zur Fahndungssendung","148","tv","A","https://www.zdf.de//gesellschaft/aktenzeichen-xy-ungeloest","https://www.zdf.de/assets/aktenzeichen-xy-sendungsteaser-100~1920x1080?cb=1477579015317"
"das aktuelle sportstudio","ZDF","Mit dem Bundesliga-Topspiel, weiteren Berichten, Interviews und Analysen zum Spieltag sowie den Highlights aus der Welt des Sports.","554","tv","A","https://www.zdf.de//sport/das-aktuelle-sportstudio","https://www.zdf.de/assets/sendungsteaser-das-aktuelle-sportstudio-100~1280x720?cb=1477583466878"
"Der Alte","ZDF","Der Freitagskrimi mit Jan-Gregor Kremp als Hauptkommissar Richard Voss.","4","tv","A","https://www.zdf.de//serien/der-alte","https://www.zdf.de/assets/sendungsteaser-der-alte-100~1920x1080?cb=1477579291508"
"Die Anstalt","ZDF","Politsatire mit Max Uthoff und Claus von Wagner","96","tv","A","https://www.zdf.de//comedy/die-anstalt","https://www.zdf.de/assets/die-anstalt-sendungteaser-100~1920x1080?cb=1477638771946"
"aspekte","ZDF","aspekte beleuchtet Aktuelles aus der Welt der Kultur: Literatur, Musik, Kunst, Kino, wichtige gesellschaftliche Debatten.","1085","tv","A","https://www.zdf.de//kultur/aspekte","https://www.zdf.de/assets/aspekte-sendungsteaser-100~1920x1080?cb=1477583365303"
"Augstein und Blome","PHOENIX","Nikolaus Blome und Jakob Augstein liefern sich einen Schlagabtausch über das Thema der Woche.","15","tv","A","https://www.zdf.de//politik/augstein-und-blome","https://www.zdf.de/assets/augstein-und-blome-sendungsteaser-100~1920x1080?cb=1477638427443"
"auslandsjournal","ZDF","Das ZDF auslandsjournal","294","tv","A","https://www.zdf.de//politik/auslandsjournal","https://www.zdf.de/assets/auslandsjournal-sendungsteaser-100~1280x720?cb=1476876002341"
"Bares für Rares","ZDF","Ob alter Krimskrams oder edle Rarität: In Horst Lichters Trödel-Show kann jeder seltene Fundstücke aus Keller oder Garage schätzen lassen.","536","tv","B","https://www.zdf.de//show/bares-fuer-rares","https://www.zdf.de/assets/bares-fuer-rares-sendungsteaser-100~2400x1350?cb=1477908029072"
"Beatrice Egli","","Reisen, Musikshow, Wien, Beatrice Egli, Herbsttag","6","tv","B","https://www.zdf.de//show/beatrice-egli","https://www.zdf.de/assets/beatrice-egli-sendungsteaser-100~1920x1080?cb=1477638559920"
"Die Bergretter","ZDF","Actionreiche und spannende Geschichten um Markus Kofler und sein Team von der Bergrettung Ramsau am Dachstein!","32","tv","B","https://www.zdf.de//serien/die-bergretter","https://www.zdf.de/assets/die-bergretter-sendungsteaser-100~1920x1080?cb=1477638825724"
"Berlin direkt","","Das politische Magazin aus der Hauptstadt","623","tv","B","https://www.zdf.de//politik/berlin-direkt","https://www.zdf.de/assets/berlin-direkt-sendungsteaser-100~1280x720?cb=1476880392481"
"Bettys Diagnose","ZDF","Bettys Diagnose - die Krankenhaus-Vorabendserie im ZDF: So kämpfen Schwester Betty und ihre Kolleginnen für die ihre Patienten!","27","tv","B","https://www.zdf.de//serien/bettys-diagnose","https://www.zdf.de/assets/sendungsteaser-bettys-diagnose-100~1920x1080?cb=1477579199138"
"BLOCKBUSTAZ","ZDFneo","Wilkommen in der Hood","15","tv","B","https://www.zdf.de//serien/blockbustaz-zdfneo","https://www.zdf.de/assets/blockbustaz-sendungsteaser-100~1920x1080?cb=1477638617221"
"Die Chefin","ZDF","Katharina Böhm ist Vera Lanz, Hauptkommissarin in der Münchner Mordkommission.","13","tv","C","https://www.zdf.de//serien/die-chefin","https://www.zdf.de/assets/die-chefin-sendungsteaser-100~1920x1080?cb=1477638869139"
"Willkommen bei Carmen Nebel","ZDF","Carmen Nebel präsentiert im ZDF die große Show ""Willkommen bei Carmen Nebel"" mit Stars, Musik und Überraschungen","45","tv","C","https://www.zdf.de//show/willkommen-bei-carmen-nebel","https://www.zdf.de/assets/sendungsteaser-willkommen-bei-carmen-nebell-100~1920x1080?cb=1477576792842"
"das aktuelle sportstudio","ZDF","Mit dem Bundesliga-Topspiel, weiteren Berichten, Interviews und Analysen zum Spieltag sowie den Highlights aus der Welt des Sports.","554","tv","D","https://www.zdf.de//sport/das-aktuelle-sportstudio","https://www.zdf.de/assets/sendungsteaser-das-aktuelle-sportstudio-100~1280x720?cb=1477583466878"
"Das kleine Fernsehspiel","ZDF","Sendungen der Nachwuchsredaktion des ZDF und Informationen zur Redaktion","95","tv","D","https://www.zdf.de//filme/das-kleine-fernsehspiel","https://www.zdf.de/assets/sendungsteaser-das-kleine-fernsehspiel-100~1920x1080?cb=1477557529251"
"Das Literarische Quartett","ZDF","Bücherstreit im ZDF mit den Literaten Volker Weidermann, Christine Westermann, Maxim Biller und einem Gast aus der Literaturszene.","89","tv","D","https://www.zdf.de//kultur/das-literarische-quartett","https://www.zdf.de/assets/das-literarische-quartett-sendungsteaser-100~1920x1080?cb=1477579481483"
"Das Spiel beginnt!","ZDF","Die große Show von 3-99 mit Johannes B. Kerner","10","tv","D","https://www.zdf.de//show/das-spiel-beginnt","https://www.zdf.de/assets/sendungsteaser-das-spiel-beginnt-100~1920x1080?cb=1477220901224"
